REGION,FUEL,YEAR,VALUE
REGION1,HYD,2025,0
REGION1,INDBIO,2025,0
REGION1,INDDSL,2025,0
REGION1,INDELCB02,2025,106.19
REGION1,INDNGS,2025,0
REGION1,JFL,2025,0
REGION1,KER,2025,0
REGION1,LALFHIBC1,2025,0
REGION1,LALFHRBC1,2025,0
REGION1,LALFIIBC1,2025,0
REGION1,LALFIRBC1,2025,0
REGION1,LALFLRBC1,2025,0
REGION1,LBARBC1,2025,0
REGION1,LBC1,2025,0
REGION1,LBLTBC1,2025,0
REGION1,LBRLHIBC1,2025,0
REGION1,LBRLHRBC1,2025,0
REGION1,LBRLIIBC1,2025,0
REGION1,LBRLIRBC1,2025,0
REGION1,LBRLLRBC1,2025,0
REGION1,LFORBC1,2025,0
REGION1,LGRSBC1,2025,0
REGION1,LMAIHIBC1,2025,0
REGION1,LMAIHRBC1,2025,0
REGION1,LMAIIIBC1,2025,0
REGION1,LMAIIRBC1,2025,0
REGION1,LMAILRBC1,2025,0
REGION1,LND4PWR,2025,0
REGION1,LOATHIBC1,2025,0
REGION1,LOATHRBC1,2025,0
REGION1,LOATIIBC1,2025,0
REGION1,LOATIRBC1,2025,0
REGION1,LOATLRBC1,2025,0
REGION1,LOTHBC1,2025,0
REGION1,LOTHHIBC1,2025,0
REGION1,LOTHHRBC1,2025,0
REGION1,LOTHIIBC1,2025,0
REGION1,LOTHIRBC1,2025,0
REGION1,LOTHLRBC1,2025,0
REGION1,LPEAHIBC1,2025,0
REGION1,LPEAHRBC1,2025,0
REGION1,LPEAIIBC1,2025,0
REGION1,LPEAIRBC1,2025,0
REGION1,LPEALRBC1,2025,0
REGION1,LPG,2025,0
REGION1,LPTWHIBC1,2025,0
REGION1,LPTWHRBC1,2025,0
REGION1,LPTWIIBC1,2025,0
REGION1,LPTWIRBC1,2025,0
REGION1,LPTWLRBC1,2025,0
REGION1,LRAPHIBC1,2025,0
REGION1,LRAPHRBC1,2025,0
REGION1,LRAPIIBC1,2025,0
REGION1,LRAPIRBC1,2025,0
REGION1,LRAPLRBC1,2025,0
REGION1,LRYEHIBC1,2025,0
REGION1,LRYEHRBC1,2025,0
REGION1,LRYEIIBC1,2025,0
REGION1,LRYEIRBC1,2025,0
REGION1,LRYELRBC1,2025,0
REGION1,LWATBC1,2025,0
REGION1,LWHEHIBC1,2025,0
REGION1,LWHEHRBC1,2025,0
REGION1,LWHEIIBC1,2025,0
REGION1,LWHEIRBC1,2025,0
REGION1,LWHELRBC1,2025,0
REGION1,NGS,2025,0
REGION1,PUBWATBC1,2025,0
REGION1,PWRBIO,2025,0
REGION1,PWRGEO,2025,0
REGION1,PWRHYD,2025,0
REGION1,PWRNGS,2025,0
