REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,LNDAGRBC1C05,SEA3D,2033,1
REGION1,LNDAGRBC1C05,SEA3N,2033,1
REGION1,LNDAGRBC1C05,SEA4D,2033,1
REGION1,LNDAGRBC1C05,SEA4N,2033,1
REGION1,LNDAGRBC1C05,SEA1D,2034,1
REGION1,LNDAGRBC1C05,SEA1N,2034,1
REGION1,LNDAGRBC1C05,SEA2D,2034,1
REGION1,LNDAGRBC1C05,SEA2N,2034,1
REGION1,LNDAGRBC1C05,SEA3D,2034,1
REGION1,LNDAGRBC1C05,SEA3N,2034,1
REGION1,LNDAGRBC1C05,SEA4D,2034,1
REGION1,LNDAGRBC1C05,SEA4N,2034,1
REGION1,LNDAGRBC1C05,SEA1D,2035,1
REGION1,LNDAGRBC1C05,SEA1N,2035,1
REGION1,LNDAGRBC1C05,SEA2D,2035,1
REGION1,LNDAGRBC1C05,SEA2N,2035,1
REGION1,LNDAGRBC1C05,SEA3D,2035,1
REGION1,LNDAGRBC1C05,SEA3N,2035,1
REGION1,LNDAGRBC1C05,SEA4D,2035,1
REGION1,LNDAGRBC1C05,SEA4N,2035,1
REGION1,LNDAGRBC1C05,SEA1D,2036,1
REGION1,LNDAGRBC1C05,SEA1N,2036,1
REGION1,LNDAGRBC1C05,SEA2D,2036,1
REGION1,LNDAGRBC1C05,SEA2N,2036,1
REGION1,LNDAGRBC1C05,SEA3D,2036,1
REGION1,LNDAGRBC1C05,SEA3N,2036,1
REGION1,LNDAGRBC1C05,SEA4D,2036,1
REGION1,LNDAGRBC1C05,SEA4N,2036,1
REGION1,LNDAGRBC1C05,SEA1D,2037,1
REGION1,LNDAGRBC1C05,SEA1N,2037,1
REGION1,LNDAGRBC1C05,SEA2D,2037,1
REGION1,LNDAGRBC1C05,SEA2N,2037,1
REGION1,LNDAGRBC1C05,SEA3D,2037,1
REGION1,LNDAGRBC1C05,SEA3N,2037,1
REGION1,LNDAGRBC1C05,SEA4D,2037,1
REGION1,LNDAGRBC1C05,SEA4N,2037,1
REGION1,LNDAGRBC1C05,SEA1D,2038,1
REGION1,LNDAGRBC1C05,SEA1N,2038,1
REGION1,LNDAGRBC1C05,SEA2D,2038,1
REGION1,LNDAGRBC1C05,SEA2N,2038,1
REGION1,LNDAGRBC1C05,SEA3D,2038,1
REGION1,LNDAGRBC1C05,SEA3N,2038,1
REGION1,LNDAGRBC1C05,SEA4D,2038,1
REGION1,LNDAGRBC1C05,SEA4N,2038,1
REGION1,LNDAGRBC1C05,SEA1D,2039,1
REGION1,LNDAGRBC1C05,SEA1N,2039,1
REGION1,LNDAGRBC1C05,SEA2D,2039,1
REGION1,LNDAGRBC1C05,SEA2N,2039,1
REGION1,LNDAGRBC1C05,SEA3D,2039,1
REGION1,LNDAGRBC1C05,SEA3N,2039,1
REGION1,LNDAGRBC1C05,SEA4D,2039,1
REGION1,LNDAGRBC1C05,SEA4N,2039,1
REGION1,LNDAGRBC1C05,SEA1D,2040,1
REGION1,LNDAGRBC1C05,SEA1N,2040,1
REGION1,LNDAGRBC1C05,SEA2D,2040,1
REGION1,LNDAGRBC1C05,SEA2N,2040,1
REGION1,LNDAGRBC1C05,SEA3D,2040,1
REGION1,LNDAGRBC1C05,SEA3N,2040,1
REGION1,LNDAGRBC1C05,SEA4D,2040,1
REGION1,LNDAGRBC1C05,SEA4N,2040,1
REGION1,LNDAGRBC1C05,SEA1D,2041,1
REGION1,LNDAGRBC1C05,SEA1N,2041,1
REGION1,LNDAGRBC1C05,SEA2D,2041,1
REGION1,LNDAGRBC1C05,SEA2N,2041,1
REGION1,LNDAGRBC1C05,SEA3D,2041,1
REGION1,LNDAGRBC1C05,SEA3N,2041,1
REGION1,LNDAGRBC1C05,SEA4D,2041,1
REGION1,LNDAGRBC1C05,SEA4N,2041,1
REGION1,LNDAGRBC1C05,SEA1D,2042,1
REGION1,LNDAGRBC1C05,SEA1N,2042,1
REGION1,LNDAGRBC1C05,SEA2D,2042,1
REGION1,LNDAGRBC1C05,SEA2N,2042,1
REGION1,LNDAGRBC1C05,SEA3D,2042,1
REGION1,LNDAGRBC1C05,SEA3N,2042,1
REGION1,LNDAGRBC1C05,SEA4D,2042,1
REGION1,LNDAGRBC1C05,SEA4N,2042,1
REGION1,LNDAGRBC1C05,SEA1D,2043,1
REGION1,LNDAGRBC1C05,SEA1N,2043,1
REGION1,LNDAGRBC1C05,SEA2D,2043,1
REGION1,LNDAGRBC1C05,SEA2N,2043,1
REGION1,LNDAGRBC1C05,SEA3D,2043,1
REGION1,LNDAGRBC1C05,SEA3N,2043,1
REGION1,LNDAGRBC1C05,SEA4D,2043,1
REGION1,LNDAGRBC1C05,SEA4N,2043,1
REGION1,LNDAGRBC1C05,SEA1D,2044,1
REGION1,LNDAGRBC1C05,SEA1N,2044,1
REGION1,LNDAGRBC1C05,SEA2D,2044,1
REGION1,LNDAGRBC1C05,SEA2N,2044,1
REGION1,LNDAGRBC1C05,SEA3D,2044,1
REGION1,LNDAGRBC1C05,SEA3N,2044,1
REGION1,LNDAGRBC1C05,SEA4D,2044,1
REGION1,LNDAGRBC1C05,SEA4N,2044,1
REGION1,LNDAGRBC1C05,SEA1D,2045,1
REGION1,LNDAGRBC1C05,SEA1N,2045,1
REGION1,LNDAGRBC1C05,SEA2D,2045,1
REGION1,LNDAGRBC1C05,SEA2N,2045,1
REGION1,LNDAGRBC1C05,SEA3D,2045,1
REGION1,LNDAGRBC1C05,SEA3N,2045,1
REGION1,LNDAGRBC1C05,SEA4D,2045,1
REGION1,LNDAGRBC1C05,SEA4N,2045,1
REGION1,LNDAGRBC1C05,SEA1D,2046,1
REGION1,LNDAGRBC1C05,SEA1N,2046,1
REGION1,LNDAGRBC1C05,SEA2D,2046,1
REGION1,LNDAGRBC1C05,SEA2N,2046,1
REGION1,LNDAGRBC1C05,SEA3D,2046,1
REGION1,LNDAGRBC1C05,SEA3N,2046,1
REGION1,LNDAGRBC1C05,SEA4D,2046,1
REGION1,LNDAGRBC1C05,SEA4N,2046,1
REGION1,LNDAGRBC1C05,SEA1D,2047,1
REGION1,LNDAGRBC1C05,SEA1N,2047,1
REGION1,LNDAGRBC1C05,SEA2D,2047,1
REGION1,LNDAGRBC1C05,SEA2N,2047,1
REGION1,LNDAGRBC1C05,SEA3D,2047,1
REGION1,LNDAGRBC1C05,SEA3N,2047,1
REGION1,LNDAGRBC1C05,SEA4D,2047,1
REGION1,LNDAGRBC1C05,SEA4N,2047,1
REGION1,LNDAGRBC1C05,SEA1D,2048,1
REGION1,LNDAGRBC1C05,SEA1N,2048,1
REGION1,LNDAGRBC1C05,SEA2D,2048,1
REGION1,LNDAGRBC1C05,SEA2N,2048,1
REGION1,LNDAGRBC1C05,SEA3D,2048,1
REGION1,LNDAGRBC1C05,SEA3N,2048,1
REGION1,LNDAGRBC1C05,SEA4D,2048,1
REGION1,LNDAGRBC1C05,SEA4N,2048,1
REGION1,LNDAGRBC1C05,SEA1D,2049,1
